NAME,T_MELT [°C],RHO [kg/m3],C_P [J/(kg*K)],LAMBDA [W/(m*K)]
Lithium,453,534,3582,84
Beryllium,1560,1850,1825,200
Sodium,370,968,1228,142
Magnesium,923,1738,1022,156
Aluminium,933,2700,897,237
Potassium,336,862,757,102
Calcium,1115,1550,647,201
Scandium,1814,2985,568,15
Titanium,1941,4506,523,21
Vanadium,2183,6000,489,30
Chromium,2180,7190,449,93
Manganese,1519,7210,479,7
Iron,1811,7874,449,80
Cobalt,1768,8900,421,100
Nickel,1728,8908,444,90
Copper,1357,8960,385,401
Zinc,692,7140,388,116
Gallium,302,5910,371,40
Rubidium,312,1532,363,58
Strontium,1050,2640,301,35
Yttrium,1799,4472,298,17
Zirconium,2128,6520,278,22
Niobium,2750,8570,265,53
Molybdenum,2896,10280,251,138
Ruthenium,2607,12450,238,117
Rhodium,2237,12410,243,150
Palladium,1828,12023,244,71
Silver,1234,10490,235,429
Cadmium,594,8650,232,96
Indium,429,7310,233,81
Caesium,301,1930,242,35
Barium,1000,3510,204,18
Lanthanum,1193,6162,195,13
Lutetium,1925,9841,154,16
Hafnium,2506,13310,144,23
Tantalum,3290,16690,140,57
Tungsten,3695,19300,132,173
Rhenium,3459,21020,137,48
Osmium,3306,22590,130,87
Iridium,2719,22560,131,147
Platinum,2041,21450,133,71
Gold,1337,19300,129,318
Mercury,234,13534,140,8
Thallium,577,11850,129,46
Lead,600,11340,129,35
Bismuth,544,9780,122,7
Radium,973,5500,94,18
Actinium,1500,10000,120,12
